
Unknown;
Machine;\\7icost19\c\handler\log\console\Events;
Summary of time consumption;;;
Cycle Count;1831295;;
Batch Count;327;;
Jam Count;142;;
Assist Count;285;;
Changeover;26;;
Startups;41;;
;;;
Productive Time;05.04:12:59;;
Standby Time;11.01:10:20;;
;;;
UP Time;16.05:23:19;;
;;;
Jam Time;03.01:11:05;;
Assist Time;06:43:40;;
Changeover Time;19:27:07;;
Startup Time;01.04:51:31;;
Maintenance Time;03.11:28:33;;
;;;
Down Time;08.19:41:56;;
Operations Time;25.01:05:15;;
;;;
Analysis Start Time;10/30/20 2:25:00 PM;;
Analysis End Time;11/24/20 3:50:15 PM;;
Total Time;25.01:25:15;;
Equipment Indicators;;;;
Reliability;Failure Rate;02:44:31;;
;MTBF;00:52:29;;
;MCBF;12896;;
;Assist Rate;01:21:58;;
;MTBA;00:26:09;;
;MCBA;6425;;
Availability;Operational uptime;64%;;
Maintainability;MTTR;00:30:55;;
;MTTA;00:01:24;;
Operational utilization;Utilization;20%;;
;Total utilization;20%;;
Throughput;cycles/productive time;14742;;
Batch Profile;;;;;;;;;;;;;;;;;;;;
Batch Name;ID;Status;Pass Lane;End Time;Total Time;Productive ;Total ;X1;X2;X3;X5;X8;Left ;Right ;Abort ;Gross UPH;Net UPH;Yield;
;;;;;;Time ;Count ;;;;;;Taper ;Taper ;Count 
Sigma BGA CTD_1;1;A ;Unknown;5 Nov 2020 10:50:35;00:00:00.000;00:00:00.000;0;0;0;0;0;0;0;0;0;N/A;N/A;00.00%;
Sigma BGA CTD_1;1;C ;Unknown;5 Nov 2020 10:51:28;00:00:53.000;00:00:00.000;3;3;0;0;0;0;0;0;3;0;N/A;00.00%;
Sigma BGA CTD_1;1;C ;Unknown;5 Nov 2020 10:51:28;00:00:53.000;00:00:00.000;3;3;0;0;0;0;0;0;3;0;N/A;00.00%;
BGA 8X11 Impact Test_1;2;A ;Unknown;5 Nov 2020 11:19:17;00:00:00.000;00:00:00.000;3;0;0;0;0;0;0;0;0;N/A;N/A;00.00%;
BGA 8X11 Impact Test_1;2;C ;Unknown;5 Nov 2020 11:21:06;00:01:49.000;00:00:00.000;179;176;0;0;0;0;0;0;176;0;N/A;00.00%;
BGA 8X11 Impact Test_1;2;C ;Unknown;5 Nov 2020 11:21:06;00:01:49.000;00:00:00.000;179;176;0;0;0;0;0;0;176;0;N/A;00.00%;
test_1;3;A ;Unknown;5 Nov 2020 11:26:23;00:00:00.000;00:00:00.000;179;0;0;0;0;0;0;0;0;N/A;N/A;00.00%;
test_1;3;C ;Unknown;5 Nov 2020 11:28:25;00:02:02.000;00:00:00.000;199;20;0;0;0;0;0;0;20;0;N/A;00.00%;
test_1;3;C ;Unknown;5 Nov 2020 11:28:25;00:02:02.000;00:00:00.000;199;20;0;0;0;0;0;0;20;0;N/A;00.00%;
